OE0003_V12;Katnr;Kurz;Lang;Startgeld;Wertung;G;Alter von;Alter bis;Start_fee2;Typ;Kategorie Zusatztext;Max. Teilnehmer
;50;"D13";"Damen -13";"3,00";"X";"F";;;"0,00";"";"";;
;51;"D15";"Damen -15";"3,00";"X";"F";;;"0,00";"";"";;
;52;"D18";"Damen -18";"4,50";"X";"F";;;"0,00";"";"";;
;53;"D19";"Damen 19-";"4,50";"X";"F";;;"0,00";"";"";;
;54;"D35";"Damen 35-";"4,50";"X";"F";;;"0,00";"";"";;
;55;"D45";"Damen 45-";"4,50";"X";"F";;;"0,00";"";"";;
;56;"D55";"Damen 55-";"4,50";"X";"F";;;"0,00";"";"";;
;57;"D65";"Damen 65-";"4,50";"X";"F";;;"0,00";"";"";;
;60;"H13";"Herren -13";"3,00";"X";"M";;;"0,00";"";"";;
;61;"H15";"Herren -15";"4,50";"X";"M";;;"0,00";"";"";;
;62;"H18";"Herren -18";"4,50";"X";"M";;;"0,00";"";"";;
;63;"H19";"Herren 19-";"4,50";"X";"M";;;"0,00";"";"";;
;64;"H35";"Herren 35-";"4,50";"X";"M";;;"0,00";"";"";;
;65;"H45";"Herren 45-";"4,50";"X";"M";;;"0,00";"";"";;
;66;"H55";"Herren 55-";"4,50";"X";"M";;;"0,00";"";"";;
;67;"H65";"Herren 65-";"4,50";"X";"M";;;"0,00";"";"";;
;70;"OK";"Offen Kurz";"3,00";"X";"M";;;"0,00";"";"";;
;71;"OL";"Offen Lang";"3,00";"X";"M";;;"0,00";"";"";;
;72;"Fam";"Family";"3,00";"X";"M";;;"0,00";"";"";;
